iter	Passed	Remaining
195	718	2946
196	721	2941
197	725	2937
198	728	2931
199	731	2927
200	735	2923
201	739	2920
202	742	2916
203	746	2911
204	750	2909
205	754	2907
206	758	2906
207	762	2903
208	766	2901
209	770	2898
210	773	2893
211	777	2890
212	781	2888
213	785	2885
214	789	2882
215	793	2878
216	797	2876
217	800	2872
218	804	2869
219	808	2867
220	812	2863
221	816	2860
222	820	2857
223	824	2854
224	827	2851
225	831	2848
226	835	2843
227	838	2840
228	842	2835
229	846	2832
230	849	2828
231	853	2824
232	857	2821
233	860	2816
234	864	2812
235	867	2807
236	870	2803
237	874	2800
238	878	2797
239	882	2793
240	885	2790
241	890	2788
242	894	2785
243	897	2782
244	901	2779
245	905	2776
246	909	2772
247	913	2768
248	917	2765
249	920	2762
250	924	2758
251	927	2754
252	931	2750
253	936	2750
254	940	2747
255	944	2744
256	947	2740
257	952	2738
258	956	2736
259	961	2735
260	966	2735
261	970	2734
262	975	2733
263	979	2731
264	984	2729
265	987	2725
266	992	2723
267	996	2721
268	1000	2717
269	1003	2713
270	1007	2709
271	1011	2706
272	1014	2702
273	1018	2699
274	1023	2697
275	1027	2694
276	1031	2691
277	1034	2687
278	1038	2684
279	1042	2680
280	1045	2676
281	1049	2672
282	1053	2669
283	1057	2665
284	1061	2663
285	1065	2659
286	1068	2655
287	1072	2651
288	1076	2649
289	1080	2644
290	1084	2641
291	1088	2638
292	1092	2635
293	1095	2631
294	1099	2628
295	1103	2625
296	1107	2622
297	1111	2618
298	1115	2614
299	1118	2609
300	1121	2605
301	1125	2601
302	1129	2597
303	1132	2593
304	1136	2589
305	1139	2585
306	1143	2580
307	1146	2576
308	1150	2572
309	1154	2569
310	1158	2565
311	1162	2562
312	1165	2559
313	1169	2555
314	1173	2551
315	1177	2547
316	1180	2544
317	1184	2540
318	1188	2536
319	1192	2533
320	1195	2529
321	1200	2526
322	1203	2522
323	1207	2519
324	1211	2516
325	1215	2512
326	1219	2508
327	1222	2504
328	1226	2501
329	1229	2497
330	1234	2494
331	1237	2490
332	1241	2486
333	1245	2482
334	1248	2478
335	1252	2474
336	1255	2470
337	1259	2465
338	1262	2461
339	1265	2457
340	1269	2452
341	1272	2448
342	1276	2445
343	1280	2441
344	1284	2438
345	1288	2435
346	1291	2431
347	1295	2427
348	1299	2423
349	1303	2420
350	1307	2417
351	1311	2414
352	1315	2410
353	1319	2408
354	1323	2404
355	1326	2400
356	1330	2395
357	1333	2392
358	1337	2388
359	1341	2384
360	1344	2380
361	1348	2376
362	1351	2372
363	1355	2368
364	1359	2365
365	1363	2361
366	1366	2357
367	1370	2353
368	1374	2350
369	1377	2346
370	1381	2342
371	1384	2337
372	1388	2333
373	1391	2329
374	1395	2325
375	1399	2321
376	1402	2317
377	1406	2314
378	1410	2310
379	1413	2306
380	1417	2303
381	1421	2300
382	1425	2296
383	1429	2293
384	1433	2290
385	1437	2286
386	1441	2283
387	1445	2279
388	1448	2275
389	1452	2272
390	1456	2268
391	1459	2264
392	1463	2260
393	1467	2256
394	1470	2252
395	1474	2249
396	1477	2244
397	1481	2240
398	1485	2237
399	1488	2233
400	1492	2228
401	1495	2224
402	1499	2221
403	1503	2217
404	1507	2214
405	1510	2210
406	1514	2206
407	1518	2203
408	1522	2199
409	1526	2196
410	1529	2192
411	1533	2189
412	1537	2185
413	1541	2181
414	1544	2176
415	1548	2173
416	1551	2169
417	1555	2165
418	1558	2161
419	1562	2157
420	1565	2153
421	1569	2149
422	1572	2145
423	1576	2141
424	1579	2137
425	1583	2133
426	1587	2129
427	1590	2125
428	1594	2121
429	1597	2117
430	1601	2113
431	1604	2110
432	1608	2106
433	1611	2102
434	1615	2098
435	1619	2094
436	1623	2091
437	1627	2087
438	1631	2084
439	1634	2080
440	1638	2077
441	1642	2073
442	1646	2070
443	1650	2066
444	1654	2063
445	1658	2060
446	1661	2055
447	1665	2051
448	1668	2047
449	1671	2042
450	1674	2038
451	1677	2034
452	1680	2029
453	1683	2025
454	1687	2020
455	1690	2016
456	1693	2012
457	1696	2007
458	1700	2003
459	1703	1999
460	1706	1995
461	1709	1990
462	1712	1986
463	1716	1982
464	1720	1979
465	1723	1975
466	1727	1971
467	1731	1967
468	1734	1963
469	1738	1960
470	1741	1955
471	1745	1952
472	1748	1948
473	1752	1944
474	1755	1940
475	1759	1936
476	1762	1932
477	1766	1928
478	1769	1924
479	1773	1920
480	1776	1917
481	1780	1913
482	1783	1909
483	1787	1905
484	1790	1901
485	1793	1896
486	1796	1892
487	1799	1888
488	1803	1884
489	1806	1880
490	1809	1875
491	1812	1871
492	1815	1867
493	1818	1863
494	1822	1859
495	1826	1855
496	1829	1851
497	1833	1848
498	1836	1844
499	1840	1840
500	1843	1836
501	1847	1832
502	1850	1828
503	1853	1824
504	1856	1819
505	1859	1815
506	1862	1811
507	1866	1807
508	1869	1803
509	1872	1799
510	1876	1795
511	1879	1791
512	1882	1787
513	1886	1783
514	1889	1779
515	1892	1774
516	1895	1770
517	1899	1767
518	1902	1763
519	1906	1760
520	1911	1757
521	1915	1753
522	1918	1749
523	1921	1745
524	1925	1741
525	1929	1738
526	1933	1734
527	1936	1731
528	1940	1727
529	1944	1723
530	1947	1720
531	1950	1716
532	1954	1712
533	1957	1708
534	1960	1704
535	1963	1700
536	1967	1695
537	1970	1691
538	1973	1687
539	1976	1683
540	1979	1679
541	1982	1675
542	1986	1671
543	1989	1667
544	1992	1663
545	1996	1659
546	1999	1655
547	2002	1651
548	2006	1648
549	2009	1644
550	2012	1640
551	2015	1636
552	2019	1632
553	2022	1628
554	2025	1624
555	2028	1620
556	2032	1616
557	2035	1612
558	2039	1608
559	2042	1604
560	2046	1601
561	2049	1597
562	2052	1593
563	2056	1589
564	2059	1585
565	2062	1581
566	2065	1577
567	2069	1573
568	2072	1570
569	2076	1566
570	2079	1562
571	2082	1558
572	2086	1554
573	2089	1550
574	2092	1546
575	2095	1542
576	2098	1538
577	2102	1534
578	2105	1530
579	2108	1526
580	2111	1522
581	2114	1518
582	2118	1515
583	2121	1511
584	2124	1507
585	2127	1503
586	2130	1498
587	2133	1494
588	2136	1490
589	2139	1486
590	2143	1483
591	2146	1479
592	2150	1475
593	2153	1471
594	2157	1468
595	2160	1464
596	2164	1460
597	2167	1457
598	2170	1453
599	2173	1449
600	2177	1445
601	2180	1441
602	2183	1437
603	2187	1433
604	2190	1429
605	2193	1426
606	2196	1422
607	2200	1418
608	2203	1414
609	2207	1411
610	2210	1407
611	2213	1403
612	2216	1399
613	2220	1395
614	2223	1392
615	2227	1388
616	2230	1384
617	2234	1381
618	2238	1377
619	2241	1374
620	2245	1370
621	2249	1367
622	2253	1363
623	2257	1360
624	2260	1356
625	2264	1352
626	2268	1349
627	2271	1345
628	2275	1342
629	2278	1338
630	2282	1334
631	2285	1330
632	2288	1326
633	2291	1322
634	2294	1318
635	2297	1314
636	2300	1311
637	2304	1307
638	2307	1303
639	2311	1300
640	2314	1296
641	2318	1292
642	2321	1289
643	2325	1285
644	2328	1281
645	2331	1277
646	2334	1273
647	2337	1269
648	2340	1266
649	2344	1262
650	2347	1258
651	2351	1254
652	2354	1251
653	2357	1247
654	2361	1243
655	2365	1240
656	2369	1236
657	2372	1233
658	2375	1229
659	2379	1225
660	2382	1222
661	2385	1218
662	2388	1214
663	2392	1210
664	2395	1206
665	2399	1203
666	2402	1199
667	2405	1195
668	2409	1191
669	2412	1188
670	2415	1184
671	2418	1180
672	2421	1176
673	2425	1173
674	2428	1169
675	2431	1165
676	2434	1161
677	2438	1157
678	2441	1154
679	2444	1150
680	2447	1146
681	2450	1142
682	2454	1139
683	2457	1135
684	2460	1131
685	2463	1127
686	2467	1124
687	2470	1120
688	2474	1116
689	2477	1113
690	2481	1109
691	2484	1105
692	2487	1102
693	2490	1098
694	2494	1094
695	2497	1090
696	2500	1086
697	2503	1083
698	2506	1079
699	2509	1075
700	2512	1071
701	2516	1068
702	2519	1064
703	2522	1060
704	2525	1056
705	2529	1053
706	2532	1049
707	2535	1045
708	2538	1042
709	2542	1038
710	2545	1034
711	2548	1030
712	2551	1026
713	2554	1023
714	2557	1019
715	2561	1015
716	2564	1012
717	2568	1008
718	2571	1004
719	2574	1001
720	2578	997
721	2581	994
722	2585	990
723	2588	986
724	2592	983
725	2595	979
726	2598	975
727	2602	972
728	2605	968
729	2608	964
730	2611	961
731	2614	957
732	2618	953
733	2621	949
734	2624	946
735	2627	942
736	2630	938
737	2634	935
738	2637	931
739	2640	927
740	2643	924
741	2647	920
742	2650	916
743	2653	913
744	2657	909
745	2660	905
746	2663	902
747	2667	898
748	2671	895
749	2675	891
750	2678	888
751	2682	884
752	2686	881
753	2690	877
754	2693	874
755	2697	870
756	2701	867
757	2704	863
758	2708	859
759	2711	856
760	2715	852
761	2718	849
762	2722	845
763	2726	842
764	2729	838
765	2733	834
766	2736	831
767	2739	827
768	2743	824
769	2746	820
770	2750	816
771	2753	813
772	2756	809
773	2759	805
774	2762	802
775	2765	798
776	2768	794
777	2771	790
778	2775	787
779	2778	783
780	2781	779
781	2784	776
782	2787	772
783	2791	769
784	2794	765
785	2798	761
786	2801	758
787	2805	754
788	2808	751
789	2812	747
790	2815	743
791	2818	740
792	2822	736
793	2825	733
794	2828	729
795	2831	725
796	2834	722
797	2838	718
798	2841	714
799	2844	711
800	2847	707
801	2851	703
802	2854	700
803	2858	696
804	2861	693
805	2864	689
806	2868	685
807	2871	682
808	2875	678
809	2878	675
810	2882	671
811	2885	668
812	2889	664
813	2892	660
814	2895	657
815	2899	653
816	2904	650
817	2908	647
818	2912	643
819	2915	640
820	2919	636
821	2923	633
822	2926	629
823	2930	625
824	2934	622
825	2937	618
826	2941	615
827	2944	611
828	2948	608
829	2951	604
830	2954	600
831	2958	597
832	2961	593
833	2964	590
834	2968	586
835	2972	583
836	2975	579
837	2979	575
838	2982	572
839	2985	568
840	2988	565
841	2992	561
842	2995	557
843	2999	554
844	3002	550
845	3006	547
846	3010	543
847	3014	540
848	3018	536
849	3022	533
850	3025	529
851	3028	526
852	3031	522
853	3035	518
854	3038	515
855	3041	511
856	3044	508
857	3048	504
858	3051	500
859	3055	497
860	3058	493
861	3061	490
862	3065	486
863	3068	482
864	3071	479
865	3074	475
866	3077	472
867	3081	468
868	3084	464
869	3087	461
870	3090	457
871	3094	454
872	3097	450
873	3101	447
874	3104	443
875	3108	439
876	3111	436
877	3115	432
878	3118	429
879	3121	425
880	3124	422
881	3127	418
882	3131	414
883	3134	411
884	3137	407
885	3141	404
886	3144	400
887	3147	396
888	3150	393
889	3153	389
890	3157	386
891	3161	382
892	3164	379
893	3167	375
894	3170	372
895	3174	368
896	3178	364
897	3181	361
898	3185	357
899	3189	354
900	3192	350
901	3196	347
902	3200	343
903	3204	340
904	3208	336
905	3212	333
906	3216	329
907	3220	326
908	3223	322
909	3227	319
910	3230	315
911	3233	312
912	3237	308
913	3240	304
914	3243	301
915	3246	297
916	3249	294
917	3253	290
918	3256	287
919	3260	283
920	3263	279
921	3266	276
922	3270	272
923	3273	269
924	3276	265
925	3279	262
926	3283	258
927	3286	254
928	3289	251
929	3293	247
930	3297	244
931	3301	240
932	3304	237
933	3308	233
934	3311	230
935	3314	226
936	3317	223
937	3320	219
938	3324	215
939	3327	212
940	3330	208
941	3333	205
942	3336	201
943	3340	198
944	3343	194
945	3346	191
946	3349	187
947	3352	183
948	3356	180
949	3359	176
950	3362	173
951	3365	169
952	3368	166
953	3371	162
954	3374	159
955	3378	155
956	3381	151
957	3384	148
958	3388	144
959	3391	141
960	3394	137
961	3398	134
962	3402	130
963	3405	127
964	3409	123
965	3413	120
966	3416	116
967	3419	113
968	3423	109
969	3426	105
970	3429	102
971	3432	98
972	3435	95
973	3438	91
974	3441	88
975	3445	84
976	3448	81
977	3451	77
978	3454	74
979	3457	70
980	3460	67
981	3464	63
982	3467	59
983	3470	56
984	3473	52
985	3476	49
986	3480	45
987	3483	42
988	3486	38
989	3489	35
990	3493	31
991	3496	28
992	3499	24
993	3502	21
994	3505	17
995	3509	14
996	3513	10
997	3516	7
998	3520	3
999	3523	0
