iter	RMSE
0	0.1369493916
1	0.1308932567
2	0.1247820957
3	0.1191811312
4	0.1142028232
5	0.1091517144
6	0.1043433739
7	0.09993385568
8	0.09563835017
9	0.09163900035
10	0.08833889538
11	0.08497952492
12	0.08194474947
13	0.07875123174
14	0.07576547255
15	0.07324535751
16	0.0706610438
17	0.06821889871
18	0.06586136685
19	0.06375157447
20	0.06181009815
21	0.06000326722
22	0.05841238351
23	0.05695427364
24	0.05516717915
25	0.05373153202
26	0.05198513533
27	0.05084840808
28	0.04946045259
29	0.04799392379
30	0.04666668902
31	0.04524302423
32	0.04416684289
33	0.04324817977
34	0.04212181601
35	0.04111625305
36	0.04007116169
37	0.03913489364
38	0.03838049945
39	0.03747845789
40	0.03670864624
41	0.03590272554
42	0.03522366106
43	0.03447729481
44	0.03381070472
45	0.03329857926
46	0.03265598599
47	0.03205797177
48	0.03159518558
49	0.03095269549
50	0.03035882474
51	0.02985008169
52	0.02942544903
53	0.02898401261
54	0.02842081669
55	0.02808868862
56	0.02763922137
57	0.02734907691
58	0.02697912756
59	0.02663197236
60	0.02621823885
61	0.02577608153
62	0.02559226367
63	0.02516136098
64	0.02497068007
65	0.0245513576
66	0.02433172666
67	0.0239635855
68	0.02357116397
69	0.02340589035
70	0.02307544303
71	0.02272079809
72	0.02236443595
73	0.0222180014
74	0.02190486699
75	0.02158598693
76	0.02137075286
77	0.02121527788
78	0.02099468061
79	0.02075077404
80	0.02044759346
81	0.02027032951
82	0.02009003549
83	0.01983635156
84	0.01974002998
85	0.01953851769
86	0.01940344116
87	0.01932963775
88	0.01914254746
89	0.01896396411
90	0.01872297308
91	0.01857414641
92	0.01850130159
93	0.01830142692
94	0.01821479623
95	0.01814521686
96	0.01794665809
97	0.01781068146
98	0.01773200033
99	0.01762593525
100	0.01738029667
101	0.01715706643
102	0.01693889974
103	0.01680193602
104	0.01668490413
105	0.01648619056
106	0.01635672853
107	0.01625181732
108	0.01613211404
109	0.01602569767
110	0.01594613051
111	0.01577145092
112	0.01563203163
113	0.01558912469
114	0.01554850159
115	0.01549953593
116	0.01538858658
117	0.01526573325
118	0.01510270277
119	0.01495713861
120	0.01484664706
121	0.0146667367
122	0.01456932705
123	0.01448849586
124	0.01441743753
125	0.01432950511
126	0.01417220344
127	0.01410048702
128	0.0139909367
129	0.01383337158
130	0.01373702032
131	0.0136496222
132	0.01360576501
133	0.01356604833
134	0.01347466712
135	0.01343993346
136	0.01336780114
137	0.01333727196
138	0.01321178177
139	0.01316975379
140	0.01308297603
141	0.01305695895
142	0.01296332265
143	0.01287190302
144	0.01279328478
145	0.01267938747
146	0.01261046871
147	0.01256641639
148	0.0124288869
149	0.01236536439
150	0.01227436484
151	0.0122497717
152	0.01218909778
153	0.01212446173
154	0.01210004037
155	0.01203227184
156	0.01197323845
157	0.01190114987
158	0.01186649803
159	0.01183947286
160	0.01177449741
161	0.01171787954
162	0.01167798438
163	0.01164236099
164	0.0115782095
165	0.01155907171
166	0.01151927595
167	0.01148584941
168	0.01146735862
169	0.0113745834
170	0.01129757908
171	0.01125355954
172	0.01119633204
173	0.01115305484
174	0.01113820725
175	0.01108081968
176	0.01103742924
177	0.0110229587
178	0.01096003942
179	0.01086838284
180	0.01084939448
181	0.01075017676
182	0.01070091802
183	0.01064475286
184	0.01062031944
185	0.01057578343
186	0.01054080445
187	0.01051596468
188	0.01050326904
189	0.01049202165
190	0.01043155709
191	0.01036636089
192	0.01032112004
193	0.01030057047
194	0.01025859089
195	0.01023577333
196	0.01020719819
197	0.01016934235
198	0.01010126255
199	0.01003739657
200	0.01001883761
201	0.009977367024
202	0.009935997641
203	0.00992043766
204	0.00988091643
205	0.009844821079
206	0.009826387509
207	0.009762466406
208	0.009741770117
209	0.009731028311
210	0.009714534608
211	0.009680267249
212	0.009625236553
213	0.009609600675
214	0.009542308107
215	0.009507621913
216	0.009472621524
217	0.009424153695
218	0.00937297822
219	0.009349144301
220	0.009339459205
221	0.009310237818
222	0.009266784991
223	0.009212307696
224	0.009183735674
225	0.009174027907
226	0.009151868758
227	0.009114185967
228	0.00909669435
229	0.009072608035
230	0.009035126418
231	0.009026375339
232	0.008994357639
233	0.008946746388
234	0.008902433813
235	0.008887532564
236	0.008869274088
237	0.008863568035
238	0.008811293149
239	0.008790258645
240	0.008776691274
241	0.008731039251
242	0.008703504061
243	0.008690264093
244	0.008655532216
245	0.00863572462
